frame_index,file,side,status,roi_mode,pixels,row_coverage_ratio,vehicle_points_before_crop,vehicle_points_after_crop,fitted_lane_points,angle_deg,line_a,line_b,vehicle_x_min,vehicle_x_max,vehicle_y_min,vehicle_y_max,lost_count
0,000000.png,left,insufficient_row_coverage,init,5,0.011561,0,0,0,0.000000,0,0,,,,,1
0,000000.png,right,ok,init,2808,0.664740,2808,2808,25,22.902318,2.36706438134,-81.2511595825,0.351496,0.453922,-1.170087,-0.596869,0
0,000000.png,center,not_published,from_left_right,,,0,,,,
1,000001.png,left,ok,init,4722,0.497110,4722,4722,25,153.824065,-2.03442490106,582.701035842,0.205099,0.339059,-0.557700,-0.371490,0
1,000001.png,right,ok,tracking,2596,0.664740,2596,2596,25,21.250305,2.57145519421,-134.718615403,0.351496,0.453922,-1.170087,-0.596869,0
1,000001.png,center,ok,from_left_right,,,25,,,,
2,000002.png,left,ok,tracking,1256,0.127168,1256,1256,25,166.966881,-4.32008159039,1022.06457716,0.263789,0.317378,-0.511274,-0.424509,0
2,000002.png,right,ok,tracking,2530,0.664740,2530,2530,25,20.808133,2.63139340245,-150.485785888,0.351496,0.453922,-1.170087,-0.596869,0
2,000002.png,center,ok,from_left_right,,,25,,,,
3,000003.png,left,rejected_side_geometry,tracking,1579,0.150289,0,0,0,170.467501,-5.95501219652,1338.29449418,,,,,6
3,000003.png,right,ok,tracking,2493,0.664740,2493,2493,25,20.644708,2.65416666808,-156.427865024,0.351496,0.453922,-1.170087,-0.596869,0
3,000003.png,center,not_published,from_left_right,,,0,,,,
4,000004.png,left,ok,init,4661,0.497110,4661,4661,25,153.955976,-2.04631173967,585.687023325,0.205099,0.339059,-0.557700,-0.371490,0
4,000004.png,right,ok,tracking,2471,0.658960,2471,2471,25,20.561217,2.66593469746,-159.301737409,0.351496,0.453922,-1.170087,-0.596869,0
4,000004.png,center,ok,from_left_right,,,25,,,,
5,000005.png,left,ok,tracking,1263,0.127168,1263,1263,25,166.654018,-4.21518464966,1002.11307616,0.264030,0.317737,-0.512041,-0.425057,0
5,000005.png,right,ok,tracking,2472,0.664740,2472,2472,25,20.505532,2.67383445229,-161.483727065,0.351496,0.453922,-1.170087,-0.596869,0
5,000005.png,center,ok,from_left_right,,,25,,,,
6,000006.png,left,rejected_side_geometry,tracking,1608,0.150289,0,0,0,170.323905,-5.86497361946,1320.42984252,,,,,6
6,000006.png,right,ok,tracking,2469,0.664740,2469,2469,25,20.526403,2.67086876905,-160.761357384,0.351496,0.453922,-1.170087,-0.596869,0
6,000006.png,center,not_published,from_left_right,,,0,,,,
7,000007.png,left,ok,init,4658,0.491329,4658,4658,25,153.729326,-2.02595617028,580.875402414,0.205652,0.338640,-0.557700,-0.371490,0
7,000007.png,right,ok,tracking,2468,0.664740,2468,2468,25,20.518403,2.6720049265,-161.023847825,0.351496,0.453922,-1.170087,-0.596869,0
7,000007.png,center,ok,from_left_right,,,25,,,,
8,000008.png,left,ok,tracking,1278,0.127168,1278,1278,25,166.273725,-4.09400468873,977.372153063,0.263789,0.317378,-0.511274,-0.424509,0
8,000008.png,right,ok,tracking,2480,0.664740,2480,2480,25,20.513153,2.67275085209,-161.166241385,0.351496,0.453922,-1.170087,-0.596869,0
8,000008.png,center,ok,from_left_right,,,25,,,,
9,000009.png,left,rejected_side_geometry,tracking,1593,0.150289,0,0,0,170.117449,-5.74006241198,1295.04939474,,,,,6
9,000009.png,right,ok,tracking,2482,0.664740,2482,2482,25,20.534821,2.66967431257,-160.318618999,0.351496,0.453922,-1.170087,-0.596869,0
9,000009.png,center,not_published,from_left_right,,,0,,,,
10,000010.png,left,ok,init,4574,0.491329,4574,4574,25,153.907870,-2.04196386505,584.989341328,0.205652,0.338262,-0.557700,-0.371490,0
10,000010.png,right,ok,tracking,2465,0.664740,2465,2465,25,20.498945,2.6747716635,-161.790674901,0.351496,0.453922,-1.170087,-0.596869,0
10,000010.png,center,ok,from_left_right,,,25,,,,
11,000011.png,left,ok,tracking,1240,0.127168,1240,1240,25,166.640451,-4.21074527554,1001.82941298,0.264030,0.317737,-0.512041,-0.425057,0
11,000011.png,right,ok,tracking,2479,0.664740,2479,2479,25,20.518133,2.67204323069,-161.086599011,0.351496,0.453922,-1.170087,-0.596869,0
11,000011.png,center,ok,from_left_right,,,25,,,,
12,000012.png,left,rejected_side_geometry,tracking,1561,0.150289,0,0,0,170.373995,-5.89607944402,1327.72314608,,,,,6
12,000012.png,right,ok,tracking,2474,0.664740,2474,2474,25,20.535364,2.66959723996,-160.321094904,0.351496,0.453922,-1.170087,-0.596869,0
12,000012.png,center,not_published,from_left_right,,,0,,,,
13,000013.png,left,ok,init,4683,0.491329,4683,4683,25,153.909687,-2.04212779593,584.717953144,0.205652,0.338640,-0.557700,-0.371490,0
13,000013.png,right,ok,tracking,2466,0.664740,2466,2466,25,20.511077,2.67304594142,-161.23556022,0.351496,0.453922,-1.170087,-0.596869,0
