frame_index,file,side,status,roi_mode,pixels,row_coverage_ratio,vehicle_points_before_crop,vehicle_points_after_crop,fitted_lane_points,angle_deg,line_a,line_b,lost_count
0,000000.png,left,ok,init,1947,0.416667,1947,1947,21,164.900981,-3.70641706835,995.805720232,0
0,000000.png,right,ok,init,2136,0.577778,2136,2136,20,19.672159,2.79717365779,-193.694577389,0
0,000000.png,center,ok,from_left_right,,,,,20,,,,
1,000001.png,left,ok,tracking,1943,0.416667,1943,1943,21,164.887881,-3.70305034069,994.978696149,0
1,000001.png,right,ok,tracking,2128,0.577778,2128,2128,20,19.683296,2.79545943539,-193.27086054,0
1,000001.png,center,ok,from_left_right,,,,,20,,,,
2,000002.png,left,ok,tracking,1945,0.416667,1945,1945,21,164.902569,-3.70682565223,995.858500576,0
2,000002.png,right,ok,tracking,2134,0.577778,2134,2134,20,19.694658,2.79371240486,-192.926897184,0
2,000002.png,center,ok,from_left_right,,,,,20,,,,
3,000003.png,left,ok,tracking,1936,0.411111,1936,1936,21,164.909445,-3.70859546615,996.238107744,0
3,000003.png,right,ok,tracking,2128,0.577778,2128,2128,20,19.686761,2.79492645915,-193.219041808,0
3,000003.png,center,ok,from_left_right,,,,,20,,,,
4,000004.png,left,ok,tracking,1929,0.416667,1929,1929,21,164.902876,-3.70690465361,995.80896007,0
4,000004.png,right,ok,tracking,2121,0.572222,2121,2121,20,19.668295,2.79776889821,-193.749688028,0
4,000004.png,center,ok,from_left_right,,,,,20,,,,
5,000005.png,left,ok,tracking,1948,0.416667,1948,1948,21,164.900849,-3.70638320834,995.83322005,0
5,000005.png,right,ok,tracking,2135,0.577778,2135,2135,20,19.671985,2.79720046575,-193.726227778,0
5,000005.png,center,ok,from_left_right,,,,,20,,,,
6,000006.png,left,ok,tracking,1939,0.416667,1939,1939,21,164.897534,-3.70553054381,995.612993081,0
6,000006.png,right,ok,tracking,2125,0.577778,2125,2125,20,19.684233,2.79531525011,-193.299780967,0
6,000006.png,center,ok,from_left_right,,,,,20,,,,
7,000007.png,left,ok,tracking,1940,0.411111,1940,1940,21,164.898367,-3.70574486863,995.685663379,0
7,000007.png,right,ok,tracking,2128,0.577778,2128,2128,20,19.677335,2.79637670237,-193.538297743,0
7,000007.png,center,ok,from_left_right,,,,,20,,,,
8,000008.png,left,ok,tracking,1949,0.411111,1949,1949,21,164.907774,-3.70816503365,996.198685124,0
8,000008.png,right,ok,tracking,2136,0.577778,2136,2136,20,19.690042,2.79442194123,-192.973130328,0
8,000008.png,center,ok,from_left_right,,,,,20,,,,
9,000009.png,left,ok,tracking,1946,0.416667,1946,1946,21,164.898750,-3.70584334708,995.721132793,0
9,000009.png,right,ok,tracking,2132,0.577778,2132,2132,20,19.685968,2.79504842055,-193.098376713,0
9,000009.png,center,ok,from_left_right,,,,,20,,,,
10,000010.png,left,ok,tracking,1940,0.411111,1940,1940,21,164.915952,-3.71027162465,996.628308064,0
10,000010.png,right,ok,tracking,2134,0.577778,2134,2134,20,19.698426,2.79313350991,-192.723751353,0
10,000010.png,center,ok,from_left_right,,,,,20,,,,
11,000011.png,left,ok,tracking,1940,0.416667,1940,1940,21,164.898721,-3.70583590065,995.635756356,0
11,000011.png,right,ok,tracking,2133,0.577778,2133,2133,20,19.691336,2.79422295746,-193.029534136,0
11,000011.png,center,ok,from_left_right,,,,,20,,,,
12,000012.png,left,ok,tracking,1931,0.411111,1931,1931,21,164.910634,-3.70890147103,996.332310086,0
12,000012.png,right,ok,tracking,2123,0.577778,2123,2123,20,19.684877,2.79521624656,-193.165600446,0
12,000012.png,center,ok,from_left_right,,,,,20,,,,
13,000013.png,left,ok,tracking,1934,0.411111,1934,1934,21,164.895274,-3.70494966628,995.444664574,0
13,000013.png,right,ok,tracking,2128,0.577778,2128,2128,20,19.686188,2.79501451699,-193.111535685,0
13,000013.png,center,ok,from_left_right,,,,,20,,,,
14,000014.png,left,ok,tracking,1933,0.411111,1933,1933,21,164.909503,-3.7086102252,996.23457963,0
14,000014.png,right,ok,tracking,2126,0.577778,2126,2126,20,19.691152,2.79425119103,-192.932086846,0
14,000014.png,center,ok,from_left_right,,,,,20,,,,
