frame_index,file,line,point_index,x,y,z
0,000000.png,left,0,1.500000000,1.059285834,0.000000000
0,000000.png,left,1,2.000000000,1.179089954,0.000000000
0,000000.png,left,2,2.500000000,1.289592021,0.000000000
0,000000.png,left,3,3.000000000,1.390792037,0.000000000
0,000000.png,left,4,3.500000000,1.482690000,0.000000000
0,000000.png,left,5,4.000000000,1.565285911,0.000000000
0,000000.png,left,6,4.500000000,1.638579770,0.000000000
0,000000.png,left,7,5.000000000,1.702571578,0.000000000
0,000000.png,left,8,5.500000000,1.757261333,0.000000000
0,000000.png,left,9,6.000000000,1.802649036,0.000000000
0,000000.png,left,10,6.500000000,1.838734687,0.000000000
0,000000.png,left,11,7.000000000,1.865518286,0.000000000
0,000000.png,left,12,7.500000000,1.882999833,0.000000000
0,000000.png,left,13,8.000000000,1.891179328,0.000000000
0,000000.png,left,14,8.500000000,1.890056771,0.000000000
0,000000.png,left,15,9.000000000,1.879632162,0.000000000
0,000000.png,left,16,9.500000000,1.859905501,0.000000000
0,000000.png,left,17,10.000000000,1.830876788,0.000000000
0,000000.png,right,0,1.500000000,-1.821117692,0.000000000
0,000000.png,right,1,2.000000000,-1.824293778,0.000000000
0,000000.png,right,2,2.500000000,-1.807643835,0.000000000
0,000000.png,right,3,3.000000000,-1.771167864,0.000000000
0,000000.png,right,4,3.500000000,-1.714865865,0.000000000
0,000000.png,right,5,4.000000000,-1.638737836,0.000000000
0,000000.png,right,6,4.500000000,-1.542783780,0.000000000
0,000000.png,right,7,5.000000000,-1.427003694,0.000000000
0,000000.png,right,8,5.500000000,-1.291397580,0.000000000
0,000000.png,right,9,6.000000000,-1.135965438,0.000000000
0,000000.png,right,10,6.500000000,-0.960707266,0.000000000
0,000000.png,right,11,7.000000000,-0.765623066,0.000000000
0,000000.png,right,12,7.500000000,-0.550712838,0.000000000
0,000000.png,right,13,8.000000000,-0.315976581,0.000000000
0,000000.png,right,14,8.500000000,-0.061414295,0.000000000
0,000000.png,right,15,9.000000000,0.212974019,0.000000000
0,000000.png,right,16,9.500000000,0.507188362,0.000000000
0,000000.png,right,17,10.000000000,0.821228733,0.000000000
0,000000.png,center,0,1.500000000,-0.380915929,0.000000000
0,000000.png,center,1,2.000000000,-0.322601912,0.000000000
0,000000.png,center,2,2.500000000,-0.259025907,0.000000000
0,000000.png,center,3,3.000000000,-0.190187914,0.000000000
0,000000.png,center,4,3.500000000,-0.116087932,0.000000000
0,000000.png,center,5,4.000000000,-0.036725963,0.000000000
0,000000.png,center,6,4.500000000,0.047897995,0.000000000
0,000000.png,center,7,5.000000000,0.137783942,0.000000000
0,000000.png,center,8,5.500000000,0.232931876,0.000000000
0,000000.png,center,9,6.000000000,0.333341799,0.000000000
0,000000.png,center,10,6.500000000,0.439013710,0.000000000
0,000000.png,center,11,7.000000000,0.549947610,0.000000000
0,000000.png,center,12,7.500000000,0.666143498,0.000000000
0,000000.png,center,13,8.000000000,0.787601374,0.000000000
0,000000.png,center,14,8.500000000,0.914321238,0.000000000
0,000000.png,center,15,9.000000000,1.046303090,0.000000000
0,000000.png,center,16,9.500000000,1.183546931,0.000000000
0,000000.png,center,17,10.000000000,1.326052760,0.000000000
1,000001.png,left,0,1.500000000,6.081266634,0.000000000
1,000001.png,left,1,2.000000000,4.976488049,0.000000000
1,000001.png,left,2,2.500000000,4.105245455,0.000000000
1,000001.png,left,3,3.000000000,3.467538851,0.000000000
1,000001.png,left,4,3.500000000,3.063368237,0.000000000
1,000001.png,left,5,4.000000000,2.892733613,0.000000000
1,000001.png,left,6,4.500000000,2.955634979,0.000000000
1,000001.png,left,7,5.000000000,3.252072335,0.000000000
1,000001.png,left,8,5.500000000,3.782045681,0.000000000
1,000001.png,left,9,6.000000000,4.545555018,0.000000000
1,000001.png,left,10,6.500000000,5.542600344,0.000000000
1,000001.png,left,11,7.000000000,6.773181661,0.000000000
1,000001.png,left,12,7.500000000,8.237298968,0.000000000
1,000001.png,left,13,8.000000000,9.934952265,0.000000000
1,000001.png,left,14,8.500000000,11.866141552,0.000000000
1,000001.png,left,15,9.000000000,14.030866829,0.000000000
1,000001.png,left,16,9.500000000,16.429128096,0.000000000
1,000001.png,left,17,10.000000000,19.060925353,0.000000000
1,000001.png,right,0,1.500000000,-1.861541698,0.000000000
1,000001.png,right,1,2.000000000,-1.793402902,0.000000000
1,000001.png,right,2,2.500000000,-1.722469109,0.000000000
1,000001.png,right,3,3.000000000,-1.648740321,0.000000000
1,000001.png,right,4,3.500000000,-1.572216537,0.000000000
1,000001.png,right,5,4.000000000,-1.492897756,0.000000000
1,000001.png,right,6,4.500000000,-1.410783980,0.000000000
1,000001.png,right,7,5.000000000,-1.325875208,0.000000000
1,000001.png,right,8,5.500000000,-1.238171441,0.000000000
1,000001.png,right,9,6.000000000,-1.147672677,0.000000000
1,000001.png,right,10,6.500000000,-1.054378917,0.000000000
1,000001.png,right,11,7.000000000,-0.958290161,0.000000000
1,000001.png,right,12,7.500000000,-0.859406410,0.000000000
1,000001.png,right,13,8.000000000,-0.757727662,0.000000000
1,000001.png,right,14,8.500000000,-0.653253919,0.000000000
1,000001.png,right,15,9.000000000,-0.545985179,0.000000000
1,000001.png,right,16,9.500000000,-0.435921444,0.000000000
1,000001.png,right,17,10.000000000,-0.323062713,0.000000000
1,000001.png,center,0,1.500000000,2.109862468,0.000000000
1,000001.png,center,1,2.000000000,1.591542574,0.000000000
1,000001.png,center,2,2.500000000,1.191388173,0.000000000
1,000001.png,center,3,3.000000000,0.909399265,0.000000000
1,000001.png,center,4,3.500000000,0.745575850,0.000000000
1,000001.png,center,5,4.000000000,0.699917928,0.000000000
1,000001.png,center,6,4.500000000,0.772425499,0.000000000
1,000001.png,center,7,5.000000000,0.963098563,0.000000000
1,000001.png,center,8,5.500000000,1.271937120,0.000000000
1,000001.png,center,9,6.000000000,1.698941170,0.000000000
1,000001.png,center,10,6.500000000,2.244110714,0.000000000
1,000001.png,center,11,7.000000000,2.907445750,0.000000000
1,000001.png,center,12,7.500000000,3.688946279,0.000000000
1,000001.png,center,13,8.000000000,4.588612301,0.000000000
1,000001.png,center,14,8.500000000,5.606443816,0.000000000
1,000001.png,center,15,9.000000000,6.742440825,0.000000000
1,000001.png,center,16,9.500000000,7.996603326,0.000000000
1,000001.png,center,17,10.000000000,9.368931320,0.000000000
2,000002.png,left,0,1.500000000,1.350411165,0.000000000
2,000002.png,left,1,2.000000000,1.858638092,0.000000000
2,000002.png,left,2,2.500000000,2.268935892,0.000000000
2,000002.png,left,3,3.000000000,2.581304564,0.000000000
2,000002.png,left,4,3.500000000,2.795744109,0.000000000
2,000002.png,left,5,4.000000000,2.912254527,0.000000000
2,000002.png,left,6,4.500000000,2.930835818,0.000000000
2,000002.png,left,7,5.000000000,2.851487981,0.000000000
2,000002.png,left,8,5.500000000,2.674211017,0.000000000
2,000002.png,left,9,6.000000000,2.399004926,0.000000000
2,000002.png,left,10,6.500000000,2.025869707,0.000000000
2,000002.png,left,11,7.000000000,1.554805361,0.000000000
