frame_index,file,side,status,roi_mode,pixels,vehicle_points_after_crop,fitted_lane_points,angle_deg,line_a,line_b,lost_count
0,000000.png,left,ok,init,45024,16128,18,134.150300,-0.97077118399,1095.1176066,0
0,000000.png,right,ok,init,10177,10177,18,13.656069,4.115877214,-1429.20861999,0
0,000000.png,center,ok,from_left_right,,,18,,,,
1,000001.png,left,ok,tracking,7311,477,18,135.219702,-1.00769862181,1123.4935611,0
1,000001.png,right,ok,tracking,8065,8065,18,14.047122,3.99677461157,-1354.60095083,0
1,000001.png,center,ok,from_left_right,,,18,,,,
2,000002.png,left,ok,tracking,7358,333,18,136.002703,-1.03562809828,1144.51287555,0
2,000002.png,right,ok,tracking,8922,8922,18,14.171474,3.96025156094,-1335.84516773,0
2,000002.png,center,ok,from_left_right,,,18,,,,
3,000003.png,left,ok,tracking,7430,316,18,136.796289,-1.06475363621,1166.79252242,0
3,000003.png,right,ok,tracking,9578,9578,18,14.271136,3.93143000708,-1317.06436553,0
3,000003.png,center,ok,from_left_right,,,18,,,,
4,000004.png,left,ok,tracking,7676,394,18,137.674717,-1.09801187896,1192.81003861,0
4,000004.png,right,ok,tracking,9618,9618,18,14.247794,3.93814506466,-1326.28918724,0
4,000004.png,center,ok,from_left_right,,,18,,,,
5,000007.png,left,ok,tracking,6318,484,18,138.895618,-1.14614457345,1230.81630296,0
5,000007.png,right,ok,tracking,4593,4593,18,14.311878,3.91976094321,-1337.64863645,0
5,000007.png,center,ok,from_left_right,,,18,,,,
6,000008.png,left,ok,tracking,6231,782,18,139.897845,-1.18744751782,1262.49631954,0
6,000008.png,right,ok,tracking,9933,9933,18,14.485518,3.87074893216,-1304.55399497,0
6,000008.png,center,ok,from_left_right,,,18,,,,
7,000009.png,left,ok,tracking,6204,622,18,140.933373,-1.23196518116,1297.2811077,0
7,000009.png,right,ok,tracking,9553,9553,18,14.738969,3.80123827061,-1260.92706144,0
7,000009.png,center,ok,from_left_right,,,18,,,,
8,000010.png,left,ok,tracking,6531,573,18,141.881986,-1.2745218356,1330.60514248,0
8,000010.png,right,ok,tracking,10344,10325,18,14.876421,3.76451029798,-1231.42862944,0
8,000010.png,center,ok,from_left_right,,,18,,,,
9,000012.png,left,ok,tracking,6630,904,18,142.817903,-1.31830650412,1364.48776908,0
9,000012.png,right,ok,tracking,10291,10291,18,14.884326,3.76241802003,-1221.08370203,0
9,000012.png,center,ok,from_left_right,,,18,,,,
10,000013.png,left,ok,tracking,7142,537,18,143.557114,-1.35424360677,1391.81632369,0
10,000013.png,right,ok,tracking,9488,9462,18,14.950437,3.74500599609,-1223.05804156,0
10,000013.png,center,ok,from_left_right,,,18,,,,
11,000014.png,left,ok,tracking,7170,586,18,143.888192,-1.37074879619,1401.8432863,0
11,000014.png,right,ok,tracking,10398,10375,18,14.988839,3.73496081998,-1207.18279601,0
11,000014.png,center,ok,from_left_right,,,18,,,,
12,000015.png,left,ok,tracking,6587,948,18,144.569150,-1.40553338072,1427.85764736,0
12,000015.png,right,ok,tracking,10199,10166,18,15.130381,3.69836651873,-1181.61080421,0
12,000015.png,center,ok,from_left_right,,,18,,,,
13,000016.png,left,ok,tracking,6890,418,18,145.435034,-1.45148049692,1463.90194475,0
13,000016.png,right,ok,tracking,9888,9804,18,15.040067,3.72163874582,-1203.77330196,0
13,000016.png,center,ok,from_left_right,,,18,,,,
14,000017.png,left,ok,tracking,6559,830,18,146.878034,-1.53271214723,1530.70927625,0
14,000017.png,right,ok,tracking,8365,8365,18,14.836668,3.77506396151,-1229.60381126,0
14,000017.png,center,ok,from_left_right,,,18,,,,
15,000018.png,left,ok,tracking,7013,672,18,148.248847,-1.61590931865,1599.5690978,0
15,000018.png,right,ok,tracking,7838,7838,18,14.552002,3.85228614538,-1277.23160975,0
15,000018.png,center,ok,from_left_right,,,18,,,,
16,000020.png,left,ok,tracking,8308,24,18,148.538533,-1.63431780225,1620.45822555,0
16,000020.png,right,ok,tracking,6733,6733,18,14.286919,3.92690192131,-1352.79165684,0
16,000020.png,center,ok,from_left_right,,,18,,,,
17,000021.png,left,ok,tracking,8290,155,18,148.732156,-1.64679234989,1637.55487054,0
17,000021.png,right,ok,tracking,7017,7017,18,13.826295,4.06321974949,-1465.33850623,0
17,000021.png,center,ok,from_left_right,,,18,,,,
18,000022.png,left,ok,tracking,9355,134,18,149.332224,-1.68635173016,1674.5566568,0
18,000022.png,right,ok,tracking,8336,8336,18,13.379950,4.20408600358,-1569.03418689,0
18,000022.png,center,ok,from_left_right,,,18,,,,
19,000023.png,left,ok,tracking,9664,313,18,149.736649,-1.71381053716,1702.67541523,0
19,000023.png,right,ok,tracking,8385,8385,18,13.318996,4.22404168818,-1594.02395924,0
19,000023.png,center,ok,from_left_right,,,18,,,,
20,000024.png,left,ok,tracking,9816,494,18,149.944168,-1.72815955444,1719.72835646,0
20,000024.png,right,ok,tracking,7546,7546,18,13.255801,4.24492170604,-1622.35062315,0
20,000024.png,center,ok,from_left_right,,,18,,,,
21,000026.png,left,ok,tracking,10618,517,18,150.296813,-1.75296006223,1745.41970559,0
21,000026.png,right,ok,tracking,9218,9218,18,13.039696,4.3178253191,-1667.0402585,0
